inventory_id,time_id,product_id,department_id,quantity_sold,storage_capacity,utilization_rate
1,1,OFF-PA-10000174,2,2,4043,0.0004946821667078902
2,2,OFF-BI-10004094,2,2,4043,0.0004946821667078902
3,2,OFF-LA-10003223,2,3,4043,0.0007420232500618352
4,2,OFF-ST-10002743,2,3,4043,0.0007420232500618352
5,3,OFF-AR-10003478,2,3,4043,0.0007420232500618352
6,4,FUR-CH-10004063,1,9,3003,0.002997002997002997
7,4,OFF-AR-10001662,2,2,4043,0.0004946821667078902
8,4,OFF-AR-10002399,2,3,4043,0.0007420232500618352
9,4,OFF-BI-10004632,2,2,4043,0.0004946821667078902
10,4,OFF-FA-10001883,2,4,4043,0.0009893643334157804
11,4,OFF-PA-10000955,2,1,4043,0.0002473410833539451
12,4,OFF-PA-10002005,2,3,4043,0.0007420232500618352
13,4,TEC-PH-10004539,3,4,2257,0.0017722640673460345
14,4,TEC-PH-10004977,3,2,2257,0.0008861320336730173
15,5,FUR-FU-10004864,1,3,3003,0.000999000999000999
16,5,OFF-BI-10003708,2,7,4043,0.0017313875834776156
17,7,OFF-AR-10004078,2,2,4043,0.0004946821667078902
18,7,TEC-AC-10001266,3,3,2257,0.001329198050509526
19,8,FUR-FU-10000965,1,1,3003,0.000333000333000333
20,8,OFF-LA-10004272,2,1,4043,0.0002473410833539451
21,9,FUR-FU-10000010,1,2,3003,0.000666000666000666
22,11,FUR-BO-10003034,1,3,3003,0.000999000999000999
23,11,FUR-CH-10000422,1,6,3003,0.001998001998001998
24,11,OFF-AR-10003514,2,5,4043,0.0012367054167697256
25,11,OFF-BI-10003476,2,2,4043,0.0004946821667078902
26,11,OFF-BI-10004187,2,3,4043,0.0007420232500618352
27,11,OFF-EN-10001532,2,3,4043,0.0007420232500618352
28,11,OFF-EN-10001990,2,2,4043,0.0004946821667078902
29,11,OFF-PA-10002947,2,7,4043,0.0017313875834776156
30,11,OFF-ST-10000025,2,6,4043,0.0014840465001236705
31,11,OFF-ST-10000078,2,5,4043,0.0012367054167697256
32,11,TEC-AC-10003174,3,6,2257,0.002658396101019052
33,12,FUR-BO-10003433,1,4,3003,0.001332001332001332
34,13,TEC-AC-10003628,3,5,2257,0.002215330084182543
35,14,FUR-FU-10001095,1,6,3003,0.001998001998001998
36,14,OFF-BI-10001575,2,2,4043,0.0004946821667078902
37,14,OFF-LA-10001074,2,3,4043,0.0007420232500618352
38,14,TEC-PH-10004614,3,3,2257,0.001329198050509526
39,16,OFF-AP-10000692,2,4,4043,0.0009893643334157804
40,17,FUR-BO-10001972,1,5,3003,0.001665001665001665
41,17,OFF-BI-10003676,2,10,4043,0.002473410833539451
42,17,OFF-EN-10002504,2,5,4043,0.0012367054167697256
43,17,OFF-PA-10000659,2,4,4043,0.0009893643334157804
44,18,FUR-CH-10002331,1,3,3003,0.000999000999000999
45,18,FUR-FU-10002268,1,3,3003,0.000999000999000999
46,18,FUR-FU-10002918,1,3,3003,0.000999000999000999
47,18,FUR-FU-10003194,1,6,3003,0.001998001998001998
48,18,OFF-AP-10002311,2,4,4043,0.0009893643334157804
49,18,OFF-AR-10002375,2,7,4043,0.0017313875834776156
50,18,OFF-AR-10003811,2,3,4043,0.0007420232500618352
51,18,OFF-AR-10004456,2,3,4043,0.0007420232500618352
52,18,OFF-BI-10000605,2,5,4043,0.0012367054167697256
53,18,OFF-BI-10003091,2,1,4043,0.0002473410833539451
54,18,OFF-BI-10004364,2,5,4043,0.0012367054167697256
55,18,OFF-EN-10001539,2,3,4043,0.0007420232500618352
56,18,OFF-PA-10002893,2,2,4043,0.0004946821667078902
57,18,OFF-ST-10000760,2,1,4043,0.0002473410833539451
58,18,OFF-ST-10003123,2,2,4043,0.0004946821667078902
59,18,TEC-PH-10001061,3,7,2257,0.0031014621178555605
60,19,FUR-FU-10001889,1,3,3003,0.000999000999000999
61,20,OFF-FA-10003467,2,3,4043,0.0007420232500618352
62,20,OFF-PA-10001804,2,6,4043,0.0014840465001236705
63,22,FUR-BO-10004409,1,2,3003,0.000666000666000666
64,22,FUR-FU-10001847,1,3,3003,0.000999000999000999
65,22,FUR-FU-10004587,1,3,3003,0.000999000999000999
66,22,OFF-BI-10001758,2,2,4043,0.0004946821667078902
67,22,OFF-PA-10000380,2,2,4043,0.0004946821667078902
68,22,OFF-PA-10003072,2,3,4043,0.0007420232500618352
69,22,OFF-ST-10004337,2,8,4043,0.001978728666831561
70,22,TEC-PH-10002103,3,2,2257,0.0008861320336730173
71,22,TEC-PH-10004833,3,13,2257,0.0057598582188746125
72,23,FUR-TA-10003469,1,3,3003,0.000999000999000999
73,23,OFF-AR-10003179,2,4,4043,0.0009893643334157804
74,23,OFF-ST-10003692,2,1,4043,0.0002473410833539451
75,24,OFF-BI-10000343,2,1,4043,0.0002473410833539451
76,26,OFF-PA-10001204,2,2,4043,0.0004946821667078902
77,26,OFF-ST-10000991,2,2,4043,0.0004946821667078902
78,27,FUR-BO-10003966,1,2,3003,0.000666000666000666
79,28,TEC-AC-10001432,3,6,2257,0.002658396101019052
80,29,OFF-BI-10000666,2,2,4043,0.0004946821667078902
81,29,OFF-FA-10001843,2,5,4043,0.0012367054167697256
82,29,TEC-PH-10002890,3,5,2257,0.002215330084182543
83,30,OFF-BI-10002827,2,3,4043,0.0007420232500618352
84,30,OFF-BI-10004593,2,2,4043,0.0004946821667078902
85,31,OFF-BI-10003676,2,2,4043,0.0004946821667078902
86,31,OFF-BI-10004230,2,3,4043,0.0007420232500618352
87,31,OFF-PA-10000350,2,4,4043,0.0009893643334157804
88,32,OFF-BI-10001196,2,2,4043,0.0004946821667078902
89,32,OFF-LA-10002787,2,4,4043,0.0009893643334157804
90,32,TEC-PH-10001615,3,5,2257,0.002215330084182543
91,32,TEC-PH-10003645,3,1,2257,0.00044306601683650863
92,33,OFF-ST-10001558,2,4,4043,0.0009893643334157804
93,33,TEC-AC-10000710,3,7,2257,0.0031014621178555605
94,34,FUR-FU-10002111,1,2,3003,0.000666000666000666
95,37,FUR-CH-10001146,1,1,3003,0.000333000333000333
96,37,FUR-FU-10002298,1,3,3003,0.000999000999000999
97,37,FUR-TA-10003715,1,6,3003,0.001998001998001998
98,37,OFF-BI-10003291,2,2,4043,0.0004946821667078902
99,37,OFF-BI-10004654,2,3,4043,0.0007420232500618352
100,37,OFF-BI-10004728,2,2,4043,0.0004946821667078902
101,37,OFF-LA-10004853,2,3,4043,0.0007420232500618352
102,37,OFF-ST-10002583,2,2,4043,0.0004946821667078902
103,37,TEC-AC-10001432,3,3,2257,0.001329198050509526
104,38,FUR-CH-10000225,1,2,3003,0.000666000666000666
105,39,OFF-AP-10001293,2,2,4043,0.0004946821667078902
106,39,OFF-PA-10000466,2,3,4043,0.0007420232500618352
107,39,OFF-SU-10000157,2,2,4043,0.0004946821667078902
108,39,TEC-AC-10000736,3,3,2257,0.001329198050509526
109,40,OFF-BI-10001031,2,5,4043,0.0012367054167697256
110,41,OFF-AP-10001303,2,2,4043,0.0004946821667078902
111,41,OFF-BI-10002012,2,3,4043,0.0007420232500618352
112,42,OFF-AR-10003631,2,14,4043,0.0034627751669552313
113,43,FUR-FU-10002396,1,5,3003,0.001665001665001665
114,43,OFF-ST-10000321,2,2,4043,0.0004946821667078902
115,45,FUR-FU-10000221,1,4,3003,0.001332001332001332
116,45,OFF-PA-10003363,2,2,4043,0.0004946821667078902
117,45,TEC-AC-10001284,3,3,2257,0.001329198050509526
118,46,OFF-BI-10004094,2,5,4043,0.0012367054167697256
119,47,OFF-PA-10001800,2,3,4043,0.0007420232500618352
120,48,OFF-BI-10000320,2,3,4043,0.0007420232500618352
121,48,OFF-LA-10004425,2,3,4043,0.0007420232500618352
122,49,OFF-PA-10000069,2,3,4043,0.0007420232500618352
123,49,OFF-PA-10000174,2,4,4043,0.0009893643334157804
124,52,OFF-AR-10003560,2,4,4043,0.0009893643334157804
125,53,FUR-CH-10000863,1,6,3003,0.001998001998001998
126,53,FUR-CH-10001270,1,6,3003,0.001998001998001998
127,53,FUR-CH-10004063,1,2,3003,0.000666000666000666
